age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,euribor3m,pdays_contacted,y
41,admin.,married,high.school,no,yes,no,cellular,nov,mon,2,-1,0,nonexistent,93.2,-42.0,4.191,0,0
41,blue-collar,married,basic.9y,no,no,no,telephone,jun,wed,2,-1,0,nonexistent,94.465,-41.8,4.962,0,0
39,unemployed,married,basic.9y,unknown,yes,no,cellular,nov,tue,1,-1,0,nonexistent,93.2,-42.0,4.153,0,0
30,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,thu,11,-1,0,nonexistent,93.918,-42.7,4.958,0,0
47,technician,divorced,professional.course,no,yes,no,cellular,jul,fri,1,-1,0,nonexistent,93.918,-42.7,4.957,0,0
55,retired,divorced,basic.9y,no,no,no,cellular,nov,thu,1,-1,0,nonexistent,93.2,-42.0,4.076,0,0
35,admin.,single,university.degree,no,yes,no,cellular,may,tue,2,-1,1,failure,92.893,-46.2,1.291,0,0
49,technician,married,university.degree,unknown,yes,no,cellular,jul,mon,2,-1,0,nonexistent,93.918,-42.7,4.962,0,0
57,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,fri,3,-1,0,nonexistent,93.918,-42.7,4.962,0,0
52,admin.,married,university.degree,no,yes,no,telephone,mar,tue,1,-1,1,failure,93.369,-34.8,0.646,0,0
37,technician,single,professional.course,no,no,no,cellular,aug,wed,1,-1,0,nonexistent,93.444,-36.1,4.967,0,0
53,technician,married,professional.course,unknown,yes,no,cellular,aug,thu,8,-1,0,nonexistent,93.444,-36.1,4.962,0,0
34,admin.,married,university.degree,no,no,no,cellular,nov,mon,1,-1,1,failure,94.767,-50.8,1.05,0,0
29,admin.,single,university.degree,no,no,no,cellular,may,thu,1,3,3,success,93.876,-40.0,0.683,1,1
46,technician,married,professional.course,no,no,yes,cellular,aug,tue,2,-1,0,nonexistent,93.444,-36.1,4.968,0,0
47,unemployed,divorced,basic.9y,no,no,no,cellular,apr,wed,2,-1,0,nonexistent,93.075,-47.1,1.445,0,0
54,unemployed,married,university.degree,no,yes,yes,cellular,jul,thu,2,-1,0,nonexistent,92.469,-33.6,0.899,0,0
51,blue-collar,married,basic.4y,no,yes,yes,telephone,dec,mon,1,-1,0,nonexistent,92.756,-45.9,3.488,0,0
58,retired,married,high.school,no,yes,no,cellular,aug,fri,10,-1,0,nonexistent,93.444,-36.1,4.963,0,0
47,admin.,married,basic.9y,no,yes,no,telephone,nov,fri,3,-1,0,nonexistent,93.2,-42.0,4.021,0,0
52,blue-collar,divorced,basic.4y,no,no,no,telephone,jun,thu,2,-1,0,nonexistent,94.465,-41.8,4.866,0,1
44,technician,married,high.school,no,no,no,cellular,nov,tue,2,-1,0,nonexistent,93.2,-42.0,4.153,0,0
24,student,single,unknown,no,yes,no,cellular,sep,wed,1,17,4,failure,94.199,-37.5,0.886,1,0
50,management,divorced,university.degree,no,no,no,cellular,jul,mon,2,-1,0,nonexistent,93.918,-42.7,4.962,0,1
51,retired,married,basic.4y,unknown,yes,yes,telephone,may,tue,1,-1,0,nonexistent,93.994,-36.4,4.856,0,0
57,blue-collar,married,basic.9y,unknown,no,yes,cellular,nov,fri,2,-1,0,nonexistent,93.2,-42.0,4.021,0,0
29,technician,single,university.degree,no,no,no,telephone,aug,fri,1,-1,0,nonexistent,93.444,-36.1,4.963,0,0
45,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,4,-1,0,nonexistent,93.994,-36.4,4.857,0,0
42,entrepreneur,married,basic.9y,unknown,no,no,telephone,jun,thu,1,-1,0,nonexistent,94.465,-41.8,4.961,0,0
34,housemaid,married,high.school,unknown,no,no,cellular,may,wed,2,-1,1,failure,92.893,-46.2,1.334,0,0
45,admin.,married,high.school,no,yes,no,telephone,may,thu,4,-1,0,nonexistent,93.994,-36.4,4.855,0,0
49,technician,single,university.degree,unknown,yes,no,telephone,may,wed,1,-1,0,nonexistent,93.994,-36.4,4.856,0,0
30,services,married,high.school,no,no,no,telephone,may,wed,5,-1,0,nonexistent,93.994,-36.4,4.859,0,0
54,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,5,-1,0,nonexistent,93.994,-36.4,4.856,0,0
46,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,2,-1,0,nonexistent,93.918,-42.7,4.96,0,0
32,admin.,single,high.school,no,yes,no,telephone,jul,fri,3,-1,0,nonexistent,93.918,-42.7,4.962,0,0
36,unemployed,single,university.degree,no,no,no,cellular,aug,fri,1,-1,0,nonexistent,92.201,-31.4,0.869,0,0
39,admin.,divorced,high.school,no,no,no,telephone,jun,tue,1,-1,0,nonexistent,94.465,-41.8,4.961,0,0
30,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,1,-1,0,nonexistent,92.893,-46.2,1.281,0,0
38,blue-collar,married,professional.course,no,yes,no,telephone,may,wed,2,-1,0,nonexistent,93.994,-36.4,4.858,0,0
26,blue-collar,single,professional.course,unknown,unknown,unknown,cellular,jul,tue,2,-1,0,nonexistent,93.918,-42.7,4.962,0,0
32,self-employed,single,university.degree,no,yes,no,cellular,nov,wed,1,-1,0,nonexistent,93.2,-42.0,4.12,0,0
41,admin.,married,university.degree,no,no,no,cellular,aug,tue,2,-1,0,nonexistent,93.444,-36.1,4.968,0,1
29,technician,single,professional.course,no,yes,no,cellular,aug,thu,4,-1,0,nonexistent,93.444,-36.1,4.962,0,0
56,technician,married,professional.course,no,yes,no,cellular,jul,mon,3,-1,0,nonexistent,93.918,-42.7,4.96,0,0
28,blue-collar,single,basic.9y,no,yes,no,cellular,may,wed,1,-1,0,nonexistent,92.893,-46.2,1.281,0,0
53,admin.,married,high.school,no,no,no,cellular,may,fri,2,-1,0,nonexistent,92.893,-46.2,1.25,0,0
39,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,tue,2,-1,0,nonexistent,94.465,-41.8,4.961,0,0
23,management,single,university.degree,no,yes,no,cellular,jul,tue,2,-1,0,nonexistent,93.918,-42.7,4.961,0,0
34,technician,divorced,professional.course,no,no,no,cellular,apr,fri,1,-1,0,nonexistent,93.075,-47.1,1.405,0,0
41,admin.,single,high.school,no,no,no,cellular,may,mon,4,-1,0,nonexistent,92.893,-46.2,1.244,0,0
31,housemaid,married,university.degree,no,no,yes,telephone,jun,tue,3,-1,0,nonexistent,94.465,-41.8,4.864,0,0
52,admin.,married,basic.6y,no,yes,no,telephone,may,thu,1,-1,0,nonexistent,93.994,-36.4,4.86,0,0
32,blue-collar,divorced,basic.9y,no,no,no,telephone,may,wed,3,-1,0,nonexistent,93.994,-36.4,4.857,0,0
26,retired,single,high.school,no,unknown,unknown,cellular,jun,wed,1,-1,0,nonexistent,92.963,-40.8,1.26,0,0
28,student,single,university.degree,no,yes,no,cellular,may,thu,2,-1,0,nonexistent,92.893,-46.2,1.266,0,0
51,blue-collar,married,professional.course,no,no,yes,telephone,may,tue,2,-1,0,nonexistent,93.994,-36.4,4.856,0,0
31,admin.,married,high.school,no,no,no,telephone,jul,tue,5,-1,0,nonexistent,93.918,-42.7,4.961,0,0
31,management,married,university.degree,no,no,no,cellular,may,fri,1,-1,1,failure,92.893,-46.2,1.313,0,0
53,self-employed,married,basic.9y,no,yes,yes,cellular,aug,fri,7,-1,0,nonexistent,93.444,-36.1,4.964,0,1
29,blue-collar,single,basic.6y,no,yes,no,telephone,jun,thu,3,-1,0,nonexistent,94.465,-41.8,4.955,0,0
36,admin.,married,university.degree,no,yes,yes,cellular,jul,wed,2,-1,0,nonexistent,93.918,-42.7,4.962,0,0
41,housemaid,married,basic.4y,no,yes,no,telephone,aug,fri,1,-1,0,nonexistent,93.444,-36.1,4.963,0,0
35,technician,single,university.degree,no,no,no,cellular,jun,mon,1,-1,0,nonexistent,94.055,-39.8,0.72,0,0
52,management,divorced,university.degree,no,yes,no,cellular,nov,mon,1,-1,1,failure,93.2,-42.0,4.191,0,0
33,admin.,divorced,university.degree,no,yes,no,telephone,nov,thu,3,-1,0,nonexistent,93.2,-42.0,4.076,0,0
32,admin.,married,university.degree,no,yes,no,cellular,nov,wed,3,-1,0,nonexistent,94.767,-50.8,1.03,0,0
48,technician,married,professional.course,no,no,yes,telephone,oct,tue,2,-1,0,nonexistent,92.431,-26.9,0.742,0,0
30,admin.,married,university.degree,no,no,no,cellular,jul,wed,6,-1,0,nonexistent,93.918,-42.7,4.962,0,0
50,blue-collar,married,basic.4y,unknown,no,no,telephone,may,fri,1,-1,0,nonexistent,93.994,-36.4,4.864,0,0
48,unemployed,married,professional.course,unknown,yes,yes,telephone,nov,fri,2,-1,0,nonexistent,93.2,-42.0,4.021,0,0
54,admin.,divorced,university.degree,no,yes,yes,cellular,nov,tue,2,-1,0,nonexistent,93.2,-42.0,4.153,0,0
47,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,5,-1,0,nonexistent,93.994,-36.4,4.857,0,0
46,blue-collar,married,high.school,no,no,no,cellular,may,tue,1,-1,1,failure,92.893,-46.2,1.344,0,0
37,technician,single,university.degree,no,no,no,telephone,jun,wed,3,-1,0,nonexistent,94.465,-41.8,4.962,0,0
48,blue-collar,married,basic.4y,no,yes,no,telephone,jul,tue,1,-1,0,nonexistent,93.918,-42.7,4.961,0,0
29,admin.,single,professional.course,no,yes,no,cellular,may,tue,5,-1,0,nonexistent,92.893,-46.2,1.291,0,0
34,self-employed,single,high.school,no,yes,no,cellular,nov,tue,4,-1,0,nonexistent,93.2,-42.0,4.153,0,0
35,admin.,single,university.degree,no,no,no,telephone,may,wed,1,-1,0,nonexistent,93.994,-36.4,4.856,0,0
29,technician,single,professional.course,no,yes,no,telephone,aug,thu,2,-1,0,nonexistent,93.444,-36.1,4.964,0,0
38,blue-collar,single,basic.4y,no,yes,no,telephone,may,thu,2,-1,0,nonexistent,93.994,-36.4,4.86,0,0
43,technician,single,university.degree,no,no,no,telephone,may,wed,1,-1,0,nonexistent,93.994,-36.4,4.856,0,0
45,unemployed,married,university.degree,no,yes,no,cellular,aug,mon,3,-1,0,nonexistent,93.444,-36.1,4.97,0,0
31,admin.,single,university.degree,unknown,yes,no,cellular,may,fri,3,-1,0,nonexistent,92.893,-46.2,1.313,0,0
37,management,married,university.degree,no,yes,no,cellular,aug,tue,2,-1,0,nonexistent,93.444,-36.1,4.968,0,0
36,services,single,professional.course,no,yes,no,cellular,may,wed,1,-1,0,nonexistent,92.893,-46.2,1.281,0,0
34,blue-collar,divorced,basic.4y,no,yes,no,cellular,apr,fri,1,-1,1,failure,93.075,-47.1,1.405,0,0
46,blue-collar,married,basic.6y,no,no,no,telephone,jun,fri,1,-1,0,nonexistent,94.465,-41.8,4.959,0,0
40,services,married,high.school,unknown,no,no,telephone,may,mon,1,-1,0,nonexistent,93.994,-36.4,4.857,0,0
55,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,mon,3,-1,0,nonexistent,94.465,-41.8,4.865,0,0
32,admin.,married,university.degree,no,yes,no,cellular,jul,thu,1,-1,0,nonexistent,93.918,-42.7,4.958,0,0
50,blue-collar,married,basic.6y,unknown,yes,no,telephone,nov,mon,3,-1,0,nonexistent,93.2,-42.0,4.191,0,0
27,admin.,single,high.school,no,no,no,cellular,jun,tue,2,-1,0,nonexistent,94.055,-39.8,0.761,0,1
36,admin.,single,university.degree,no,yes,no,cellular,jul,thu,8,-1,0,nonexistent,93.918,-42.7,4.968,0,0
25,services,single,high.school,no,no,no,cellular,aug,fri,1,-1,0,nonexistent,92.201,-31.4,0.869,0,0
37,blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,2,-1,0,nonexistent,94.465,-41.8,4.967,0,0
30,admin.,single,high.school,no,no,no,cellular,aug,fri,1,-1,0,nonexistent,93.444,-36.1,4.964,0,0
29,technician,single,professional.course,no,yes,no,cellular,jul,tue,3,-1,0,nonexistent,93.918,-42.7,4.961,0,0
35,blue-collar,married,basic.6y,no,no,no,cellular,may,wed,2,-1,1,failure,92.893,-46.2,1.281,0,0
30,blue-collar,married,basic.9y,no,yes,no,cellular,nov,tue,2,-1,1,failure,93.2,-42.0,4.153,0,0
47,blue-collar,married,basic.9y,no,yes,yes,cellular,apr,mon,1,-1,0,nonexistent,93.075,-47.1,1.405,0,0
46,admin.,divorced,high.school,no,unknown,unknown,cellular,jul,tue,1,-1,0,nonexistent,92.469,-33.6,1.044,0,1
45,blue-collar,divorced,high.school,unknown,no,no,cellular,jul,thu,1,-1,0,nonexistent,93.918,-42.7,4.963,0,0
33,services,married,university.degree,no,unknown,unknown,telephone,may,thu,1,-1,0,nonexistent,93.994,-36.4,4.86,0,0
31,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,3,-1,0,nonexistent,93.994,-36.4,4.858,0,0
47,unknown,married,unknown,no,no,yes,cellular,aug,wed,5,-1,0,nonexistent,93.444,-36.1,4.964,0,0
54,technician,married,high.school,no,no,no,telephone,may,tue,12,-1,0,nonexistent,93.994,-36.4,4.856,0,0
33,self-employed,single,university.degree,no,no,no,telephone,aug,wed,4,-1,0,nonexistent,93.444,-36.1,4.965,0,0
39,housemaid,married,university.degree,no,no,no,telephone,may,mon,1,-1,0,nonexistent,93.994,-36.4,4.858,0,0
33,technician,married,university.degree,unknown,yes,no,cellular,aug,mon,7,-1,0,nonexistent,93.444,-36.1,4.963,0,0
53,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,1,-1,0,nonexistent,93.994,-36.4,4.859,0,0
34,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,3,-1,0,nonexistent,93.994,-36.4,4.857,0,0
31,admin.,married,high.school,no,no,no,telephone,may,wed,3,-1,0,nonexistent,93.994,-36.4,4.857,0,0
49,admin.,single,university.degree,no,no,no,cellular,may,tue,1,-1,1,failure,92.893,-46.2,1.266,0,0
38,admin.,divorced,university.degree,no,yes,no,cellular,jul,tue,1,-1,0,nonexistent,93.918,-42.7,4.962,0,0
43,admin.,divorced,basic.9y,no,unknown,unknown,telephone,may,tue,2,-1,0,nonexistent,93.994,-36.4,4.856,0,0
57,retired,married,high.school,no,no,no,cellular,jul,mon,2,-1,0,nonexistent,93.918,-42.7,4.962,0,0
25,admin.,single,basic.9y,no,yes,yes,cellular,jul,thu,30,-1,0,nonexistent,93.918,-42.7,4.968,0,0
35,admin.,married,university.degree,no,yes,no,cellular,nov,wed,1,-1,0,nonexistent,93.2,-42.0,4.12,0,0
44,blue-collar,married,basic.4y,no,unknown,unknown,cellular,apr,mon,1,-1,1,failure,93.075,-47.1,1.405,0,0
46,admin.,single,university.degree,unknown,no,no,telephone,jun,tue,1,-1,0,nonexistent,94.465,-41.8,4.864,0,0
21,blue-collar,single,basic.9y,no,yes,no,cellular,may,mon,1,-1,0,nonexistent,92.893,-46.2,1.244,0,0
59,blue-collar,divorced,basic.4y,unknown,yes,no,cellular,jul,mon,3,-1,0,nonexistent,93.918,-42.7,4.962,0,0
49,services,divorced,basic.6y,unknown,no,no,telephone,jul,fri,4,-1,0,nonexistent,93.918,-42.7,4.957,0,0
54,management,married,university.degree,no,yes,no,cellular,apr,thu,1,-1,0,nonexistent,93.075,-47.1,1.365,0,0
41,admin.,divorced,university.degree,no,yes,no,cellular,aug,wed,5,-1,0,nonexistent,93.444,-36.1,4.964,0,1
57,admin.,married,university.degree,no,yes,no,telephone,may,thu,4,-1,0,nonexistent,93.994,-36.4,4.86,0,0
41,blue-collar,married,basic.9y,no,no,no,cellular,oct,mon,1,-1,1,failure,92.431,-26.9,0.739,0,0
33,admin.,married,professional.course,no,no,no,telephone,jun,fri,4,-1,0,nonexistent,94.465,-41.8,4.959,0,0
33,services,married,basic.6y,no,yes,yes,cellular,may,tue,4,-1,1,failure,92.893,-46.2,1.291,0,0
39,technician,single,high.school,unknown,yes,no,cellular,aug,mon,6,-1,0,nonexistent,93.444,-36.1,4.965,0,0
32,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,tue,4,-1,0,nonexistent,92.893,-46.2,1.291,0,0
45,technician,married,professional.course,no,no,no,cellular,jul,wed,1,-1,0,nonexistent,93.918,-42.7,4.963,0,0
46,management,married,basic.9y,no,no,no,telephone,may,mon,2,-1,0,nonexistent,93.994,-36.4,4.857,0,0
34,blue-collar,married,basic.4y,no,no,no,telephone,may,tue,1,-1,0,nonexistent,93.994,-36.4,4.856,0,0
36,admin.,single,high.school,no,no,no,cellular,may,thu,2,-1,1,failure,92.893,-46.2,1.327,0,0
27,admin.,single,high.school,no,no,no,cellular,jul,tue,1,-1,0,nonexistent,93.918,-42.7,4.962,0,0
34,admin.,married,university.degree,no,no,no,telephone,may,fri,2,-1,0,nonexistent,93.994,-36.4,4.864,0,0
30,self-employed,single,university.degree,no,unknown,unknown,cellular,aug,mon,2,-1,0,nonexistent,94.027,-38.3,0.904,0,0
45,management,married,unknown,unknown,yes,no,telephone,jun,wed,6,-1,0,nonexistent,94.465,-41.8,4.864,0,0
32,services,married,basic.4y,unknown,no,no,cellular,jul,mon,4,-1,0,nonexistent,93.918,-42.7,4.96,0,1
35,admin.,single,university.degree,no,no,no,cellular,jul,fri,2,-1,0,nonexistent,93.918,-42.7,4.963,0,0
42,technician,married,basic.9y,no,no,no,cellular,nov,wed,2,-1,0,nonexistent,93.2,-42.0,4.12,0,0
23,unemployed,married,high.school,no,no,no,telephone,may,fri,1,-1,0,nonexistent,93.876,-40.0,0.699,0,0
52,admin.,single,high.school,unknown,yes,no,cellular,jul,tue,3,-1,0,nonexistent,93.918,-42.7,4.961,0,0
28,blue-collar,married,basic.4y,no,no,yes,cellular,may,tue,1,-1,0,nonexistent,92.893,-46.2,1.291,0,0
39,admin.,married,high.school,no,yes,no,cellular,may,mon,2,-1,0,nonexistent,92.893,-46.2,1.299,0,0
55,technician,married,basic.9y,unknown,yes,no,cellular,jul,mon,6,-1,0,nonexistent,93.918,-42.7,4.962,0,0
32,technician,divorced,high.school,no,yes,no,telephone,may,tue,1,-1,0,nonexistent,93.994,-36.4,4.856,0,0
32,admin.,married,university.degree,no,yes,yes,cellular,may,thu,1,-1,0,nonexistent,92.893,-46.2,1.327,0,0
33,technician,married,university.degree,no,no,no,cellular,may,wed,3,-1,0,nonexistent,92.893,-46.2,1.334,0,1
59,blue-collar,married,basic.6y,no,yes,no,telephone,jun,tue,2,-1,0,nonexistent,94.465,-41.8,4.961,0,0
35,technician,divorced,professional.course,no,yes,no,cellular,apr,wed,1,-1,1,failure,93.075,-47.1,1.445,0,0
28,management,single,university.degree,no,no,no,telephone,may,wed,4,-1,0,nonexistent,93.994,-36.4,4.857,0,0
46,blue-collar,married,basic.9y,no,no,no,telephone,jun,wed,10,-1,0,nonexistent,94.465,-41.8,4.959,0,0
44,admin.,married,professional.course,no,yes,no,telephone,may,mon,1,-1,0,nonexistent,93.994,-36.4,4.857,0,0
32,self-employed,married,high.school,no,yes,no,cellular,aug,wed,3,-1,0,nonexistent,93.444,-36.1,4.964,0,0
45,services,married,basic.9y,no,no,no,telephone,may,tue,1,-1,0,nonexistent,93.994,-36.4,4.856,0,0
29,admin.,married,basic.6y,no,no,yes,telephone,may,wed,3,-1,0,nonexistent,93.994,-36.4,4.857,0,0
55,admin.,married,high.school,no,yes,no,telephone,may,wed,4,-1,0,nonexistent,93.994,-36.4,4.859,0,0
28,blue-collar,single,basic.9y,no,unknown,unknown,telephone,may,tue,1,-1,0,nonexistent,93.994,-36.4,4.856,0,0
35,technician,married,professional.course,no,no,no,telephone,may,fri,8,-1,0,nonexistent,93.994,-36.4,4.859,0,0
38,admin.,divorced,high.school,no,no,no,telephone,may,fri,1,-1,0,nonexistent,93.994,-36.4,4.857,0,0
59,retired,divorced,professional.course,no,yes,no,cellular,may,wed,3,-1,0,nonexistent,92.893,-46.2,1.281,0,0
